int_rate_clean,total_num,positive_num,negtive_num,theory_positive_num,theory_negtive_num,chiSquare
0.0751,22.0,2.0,20.0,4.29,6.4399999999999995,inf
0.1065,44.0,7.0,37.0,8.58,5.635,29.77420217463696
0.15960000000000002,85.0,16.0,69.0,16.575000000000003,12.075,174.87182971273035
0.1677,13.0,4.0,9.0,2.535,2.415,268.38066149536735
0.2206,24.0,8.0,16.0,4.68,6.4399999999999995,18.802009751675303
