int_rate_clean,total_num,positive_num,negtive_num,theory_positive_num,theory_negtive_num,chiSquare
0.1629,161,25,136,31.395,129.605,inf
0.1677,10,4,6,1.9500000000000002,8.049999999999999,5.61
0.1727,8,4,4,1.56,6.4399999999999995,9.79
0.2089,17,4,13,3.3150000000000004,13.684999999999999,4.1
0.21280000000000002,2,2,0,0.39,1.6099999999999999,13.43
0.2206,2,0,2,0.39,1.6099999999999999,7.43
